Year,Month,Initial_link,Initial_link,Center,Right,Union,Final_link
1997,august,http://datos.imss.gob.mx/node/549/download,http://datos.imss.gob.mx/node/,751,/download,http://datos.imss.gob.mx/node/751/download,http://datos.imss.gob.mx/node/751/download
1997,september,http://datos.imss.gob.mx/node/549/download,http://datos.imss.gob.mx/node/,750,/download,http://datos.imss.gob.mx/node/750/download,http://datos.imss.gob.mx/node/750/download
1997,october,http://datos.imss.gob.mx/node/549/download,http://datos.imss.gob.mx/node/,749,/download,http://datos.imss.gob.mx/node/749/download,http://datos.imss.gob.mx/node/749/download
1997,november,http://datos.imss.gob.mx/node/549/download,http://datos.imss.gob.mx/node/,741,/download,http://datos.imss.gob.mx/node/741/download,http://datos.imss.gob.mx/node/741/download
1997,december,http://datos.imss.gob.mx/node/549/download,http://datos.imss.gob.mx/node/,610,/download,http://datos.imss.gob.mx/node/610/download,http://datos.imss.gob.mx/node/610/download
1998,january,http://datos.imss.gob.mx/node/748/download,http://datos.imss.gob.mx/node/,748,/download,http://datos.imss.gob.mx/node/748/download,http://datos.imss.gob.mx/node/748/download
1998,february,http://datos.imss.gob.mx/node/748/download,http://datos.imss.gob.mx/node/,747,/download,http://datos.imss.gob.mx/node/747/download,http://datos.imss.gob.mx/node/747/download
1998,march,http://datos.imss.gob.mx/node/748/download,http://datos.imss.gob.mx/node/,746,/download,http://datos.imss.gob.mx/node/746/download,http://datos.imss.gob.mx/node/746/download
1998,april,http://datos.imss.gob.mx/node/748/download,http://datos.imss.gob.mx/node/,745,/download,http://datos.imss.gob.mx/node/745/download,http://datos.imss.gob.mx/node/745/download
1998,may,http://datos.imss.gob.mx/node/748/download,http://datos.imss.gob.mx/node/,744,/download,http://datos.imss.gob.mx/node/744/download,http://datos.imss.gob.mx/node/744/download
1998,june,http://datos.imss.gob.mx/node/748/download,http://datos.imss.gob.mx/node/,743,/download,http://datos.imss.gob.mx/node/743/download,http://datos.imss.gob.mx/node/743/download
1998,july,http://datos.imss.gob.mx/node/748/download,http://datos.imss.gob.mx/node/,742,/download,http://datos.imss.gob.mx/node/742/download,http://datos.imss.gob.mx/node/742/download
1998,august,http://datos.imss.gob.mx/node/748/download,http://datos.imss.gob.mx/node/,740,/download,http://datos.imss.gob.mx/node/740/download,http://datos.imss.gob.mx/node/740/download
1998,september,http://datos.imss.gob.mx/node/748/download,http://datos.imss.gob.mx/node/,739,/download,http://datos.imss.gob.mx/node/739/download,http://datos.imss.gob.mx/node/739/download
1998,october,http://datos.imss.gob.mx/node/748/download,http://datos.imss.gob.mx/node/,738,/download,http://datos.imss.gob.mx/node/738/download,http://datos.imss.gob.mx/node/738/download
1998,november,http://datos.imss.gob.mx/node/748/download,http://datos.imss.gob.mx/node/,737,/download,http://datos.imss.gob.mx/node/737/download,http://datos.imss.gob.mx/node/737/download
1998,december,http://datos.imss.gob.mx/node/748/download,http://datos.imss.gob.mx/node/,612,/download,http://datos.imss.gob.mx/node/612/download,http://datos.imss.gob.mx/node/612/download
1999,january,http://datos.imss.gob.mx/node/736/download,http://datos.imss.gob.mx/node/,736,/download,http://datos.imss.gob.mx/node/736/download,http://datos.imss.gob.mx/node/736/download
1999,february,http://datos.imss.gob.mx/node/736/download,http://datos.imss.gob.mx/node/,735,/download,http://datos.imss.gob.mx/node/735/download,http://datos.imss.gob.mx/node/735/download
1999,march,http://datos.imss.gob.mx/node/736/download,http://datos.imss.gob.mx/node/,734,/download,http://datos.imss.gob.mx/node/734/download,http://datos.imss.gob.mx/node/734/download
1999,april,http://datos.imss.gob.mx/node/736/download,http://datos.imss.gob.mx/node/,733,/download,http://datos.imss.gob.mx/node/733/download,http://datos.imss.gob.mx/node/733/download
1999,may,http://datos.imss.gob.mx/node/736/download,http://datos.imss.gob.mx/node/,732,/download,http://datos.imss.gob.mx/node/732/download,http://datos.imss.gob.mx/node/732/download
1999,june,http://datos.imss.gob.mx/node/736/download,http://datos.imss.gob.mx/node/,731,/download,http://datos.imss.gob.mx/node/731/download,http://datos.imss.gob.mx/node/731/download
1999,july,http://datos.imss.gob.mx/node/736/download,http://datos.imss.gob.mx/node/,730,/download,http://datos.imss.gob.mx/node/730/download,http://datos.imss.gob.mx/node/730/download
1999,august,http://datos.imss.gob.mx/node/736/download,http://datos.imss.gob.mx/node/,729,/download,http://datos.imss.gob.mx/node/729/download,http://datos.imss.gob.mx/node/729/download
1999,september,http://datos.imss.gob.mx/node/736/download,http://datos.imss.gob.mx/node/,728,/download,http://datos.imss.gob.mx/node/728/download,http://datos.imss.gob.mx/node/728/download
1999,october,http://datos.imss.gob.mx/node/736/download,http://datos.imss.gob.mx/node/,726,/download,http://datos.imss.gob.mx/node/726/download,http://datos.imss.gob.mx/node/726/download
1999,november,http://datos.imss.gob.mx/node/736/download,http://datos.imss.gob.mx/node/,725,/download,http://datos.imss.gob.mx/node/725/download,http://datos.imss.gob.mx/node/725/download
1999,december,http://datos.imss.gob.mx/node/736/download,http://datos.imss.gob.mx/node/,614,/download,http://datos.imss.gob.mx/node/614/download,http://datos.imss.gob.mx/node/614/download
2000,january,http://datos.imss.gob.mx/node/595/download,http://datos.imss.gob.mx/node/,595,/download,http://datos.imss.gob.mx/node/595/download,http://datos.imss.gob.mx/node/595/download
2000,february,http://datos.imss.gob.mx/node/595/download,http://datos.imss.gob.mx/node/,596,/download,http://datos.imss.gob.mx/node/596/download,http://datos.imss.gob.mx/node/596/download
2000,march,http://datos.imss.gob.mx/node/595/download,http://datos.imss.gob.mx/node/,597,/download,http://datos.imss.gob.mx/node/597/download,http://datos.imss.gob.mx/node/597/download
2000,april,http://datos.imss.gob.mx/node/595/download,http://datos.imss.gob.mx/node/,598,/download,http://datos.imss.gob.mx/node/598/download,http://datos.imss.gob.mx/node/598/download
2000,may,http://datos.imss.gob.mx/node/595/download,http://datos.imss.gob.mx/node/,599,/download,http://datos.imss.gob.mx/node/599/download,http://datos.imss.gob.mx/node/599/download
