Time,CDMX,GUERRERO,MORELOS,M�XICO,QUER�TARO,AGUASCALIENTES,CHIHUAHUA,COAHUILA,DURANGO,NUEVO LE�N,SAN LUIS POTOS�,TAMAULIPAS,ZACATECAS,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COLIMA,GUANAJUATO,JALISCO,MICHOAC�N,NAYARIT,SINALOA,SONORA,CAMPECHE,CHIAPAS,HIDALGO,OAXACA,PUEBLA,QUINTANA ROO,TABASCO,TLAXCALA,VERACRUZ,YUCAT�N,NACIONAL
2021/Sep,3285182,146786,210063,1644896,629751,338890,939840,798128,253375,1705536,456972,703988,193441,1026466,191774,142090,1015502,1847731,464742,160256,575501,607439,131815,231748,238463,209202,605406,421962,205088,104775,719657,388454,20594919
2021/Aug,3262318,148278,207421,1626856,626975,336344,933227,793592,251748,1688614,454927,695001,192118,1016064,184930,141031,1006011,1837975,461649,158588,562948,597269,132574,231028,235746,208258,601686,424006,201725,104983,715040,381893,20420823
2021/Jul,3240746,151226,205282,1611607,622860,333223,932271,786210,248024,1679338,453368,690314,190973,1004864,183282,139826,1003954,1826575,459348,158791,566809,592379,131962,229159,229304,210228,599636,417457,200421,104407,709293,378786,20291923
2021/Jun,3230475,148621,203488,1622778,618558,330146,931191,779285,243680,1663165,450346,684207,189848,989518,180020,139861,996819,1820785,460645,159031,559597,595916,128911,225406,226457,208994,594915,406636,194993,103302,707079,380707,20175380
2021/May,3236212,147900,204820,1620929,615626,331878,928687,771742,243336,1651843,445758,680062,189898,989878,177308,137819,989630,1815607,458518,156933,569723,595612,129262,223454,224565,207266,590768,396775,193049,103141,706384,375061,20109444
2021/Apr,3216137,147121,205634,1613698,614757,331492,925796,771042,243118,1648923,447102,682255,189657,982827,172839,137842,990113,1810884,460254,155031,583413,597526,128729,228147,222289,208305,592577,384821,188355,102990,714724,372085,20070483
2021/Mar,3213626,147015,205760,1606884,611101,331624,920933,768194,241968,1638861,447825,683659,189159,983129,170091,138595,986585,1803619,462309,152744,586460,603862,127450,226046,222938,208202,592445,377825,185038,102821,717938,371003,20025709
2021/Feb,3216913,143318,206050,1603856,606706,330675,915962,766489,241978,1626135,447419,682804,187902,970897,167746,137020,985130,1800733,462035,151811,581325,597596,127199,223027,222065,208345,589535,363772,179307,101686,723182,368320,19936938
2021/Jan,3217900,142961,205548,1594259,600127,328665,913562,763001,241106,1619270,444131,677274,186492,964088,167720,136513,977981,1787122,458944,150458,577248,583878,126216,218863,221013,207314,586200,362807,175361,99545,721627,364457,19821651
2020/Dec,3246669,146771,205308,1593415,595496,321424,903594,757473,239136,1610359,440501,672536,187080,944174,170112,135945,973396,1780367,461602,149477,570100,575636,125731,221463,218499,208539,590229,365783,174213,99057,725198,364449,19773732
